"Sample","n_1","n_12","n_23","Parameter","Estimates","Std_Errors"
1,30,2,2,"intercept",1.25623383829013,0.245657170472868
1,30,2,2,"X_1_cont",1.19272220884383,0.198823760642761
1,30,2,2,"X_2_cont",-0.484329366846625,0.191982900520995
1,30,2,2,"X_3_dich",0.924936017723878,0.353948149498346
1,30,2,2,"log_sigma_0",0.264115817457263,0.10929780352656
1,30,2,2,"log_sigma_1",-9.54979028262828,4571.51643648178
1,30,2,2,"log_sigma_2",-13.646435064174,101575.218032515
1,30,2,2,"sigma_0",1.30227901421112,0.142336235832009
1,30,2,2,"sigma_1",7.12161967745304e-05,0.325566014098487
1,30,2,2,"sigma_2",1.18420953601579e-06,0.120286341816988
1,30,2,2,"sigma2_0",1.6959306308547,0.370722985771662
1,30,2,2,"sigma2_1",5.07174668302864e-09,4.63711466462747e-05
1,30,2,2,"sigma2_2",1.40235222519074e-12,2.84888466064264e-07
2,30,2,2,"intercept",1.00702390804486,0.271563833067985
2,30,2,2,"X_1_cont",1.06760337554553,0.181289264505965
2,30,2,2,"X_2_cont",-0.610077860795772,0.137933949480627
2,30,2,2,"X_3_dich",0.878353876230929,0.301519275052442
2,30,2,2,"log_sigma_0",0.130175276467283,0.101557501025813
2,30,2,2,"log_sigma_1",-10.305040354023,4780.05564091927
2,30,2,2,"log_sigma_2",-1.4049935495988,0.850786349366925
2,30,2,2,"sigma_0",1.13902801063497,0.115676838358491
2,30,2,2,"sigma_1",3.34639989894323e-05,0.159959777137153
2,30,2,2,"sigma_2",0.245368639173987,0.208756288771966
2,30,2,2,"sigma2_0",1.29738480901105,0.263518318144029
2,30,2,2,"sigma2_1",1.11983922836473e-09,1.0705787640935e-05
2,30,2,2,"sigma2_2",0.060205769090094,0.102444492989978
3,30,2,2,"intercept",1.1820245474185,0.170271396560166
3,30,2,2,"X_1_cont",0.96658415860111,0.166296980157486
3,30,2,2,"X_2_cont",-0.372494868224492,0.153218095072739
3,30,2,2,"X_3_dich",1.07122807875011,0.288704743674078
3,30,2,2,"log_sigma_0",0.0793512831370722,0.0961803680510851
3,30,2,2,"log_sigma_1",-9.53297289536572,3467.33664355249
3,30,2,2,"log_sigma_2",-18.3075848636877,NA
3,30,2,2,"sigma_0",1.08258454897927,0.104123380367244
3,30,2,2,"sigma_1",7.24239946714343e-05,0.251118370596715
3,30,2,2,"sigma_2",1.11973928870117e-08,NA
3,30,2,2,"sigma2_0",1.17198930568864,0.225444725546138
3,30,2,2,"sigma2_1",5.24523500416794e-09,3.63739910679914e-05
3,30,2,2,"sigma2_2",1.25381607466099e-16,NA
4,30,2,2,"intercept",1.40485928513537,0.302072219694333
4,30,2,2,"X_1_cont",1.00937329872777,0.166600140945855
4,30,2,2,"X_2_cont",-0.658266890859793,0.172585523955805
4,30,2,2,"X_3_dich",0.818222183492362,0.315881916287382
4,30,2,2,"log_sigma_0",0.177325310903476,0.105822567559537
4,30,2,2,"log_sigma_1",-2.05670471157136,5.76401387771366
4,30,2,2,"log_sigma_2",-1.18701925004883,0.771639042301986
4,30,2,2,"sigma_0",1.19401945750262,0.126354204708973
4,30,2,2,"sigma_1",0.127874660254349,0.737071316313989
4,30,2,2,"sigma_2",0.30512942441176,0.235449776831247
4,30,2,2,"sigma2_0",1.42568246489485,0.301738757919566
4,30,2,2,"sigma2_1",0.0163519287351653,0.188505488313755
4,30,2,2,"sigma2_2",0.093103965641852,0.143685309764791
5,30,2,2,"intercept",1.01221535194902,0.247577315307722
5,30,2,2,"X_1_cont",0.752369539838513,0.179936344340214
